SYMBOL,COMPANY_NAME,SECTOR,SOURCE,LAST_UPDATED
ORIENTHOT,Oriental Hotels Limited,HOSPITALITY,AUTO_V2,2026-06-06
ORIENTPPR,Orient Paper & Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
ORIENTTECH,Orient Technologies Limited,IT,AUTO_V2,2026-06-06
OSWALPUMPS,Oswal Pumps Limited,INDUSTRIAL_PRODUCTS,AUTO_V2,2026-06-06
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,CHEMICALS,AUTO_V2,2026-06-06
PAGEIND,Page Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
PALASHSECU,Palash Securities Limited,FINANCIAL_SERVICES,AUTO_V2,2026-06-06
PAR,Par Drugs And Chemicals Limited,CHEMICALS,AUTO_V2,2026-06-06
PARAGMILK,Parag Milk Foods Limited,FMCG,AUTO_V2,2026-06-06
PARAS,Paras Defence and Space Technologies Limited,IT,AUTO_V2,2026-06-06
PARKHOTELS,Apeejay Surrendra Park Hotels Limited,HOSPITALITY,AUTO_V2,2026-06-06
PATANJALI,Patanjali Foods Limited,FMCG,AUTO_V2,2026-06-06
PATELENG,Patel Engineering Limited,CAPITAL_GOODS,AUTO_V2,2026-06-06
PATELRMART,Patel Retail Limited,RETAIL,AUTO_V2,2026-06-06
PATINTLOG,Patel Integrated Logistics Limited,LOGISTICS,AUTO_V2,2026-06-06
PENIND,Pennar Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
PERSISTENT,Persistent Systems Limited,IT,AUTO_V2,2026-06-06
PETRONET,Petronet LNG Limited,OIL_GAS,AUTO_V2,2026-06-06
PFS,PTC India Financial Services Limited,FINANCIAL_SERVICES,AUTO_V2,2026-06-06
PGEL,PG Electroplast Limited,CONSUMER_DURABLES,AUTO_V2,2026-06-06
PGHH,Procter & Gamble Hygiene and Health Care Limited,HEALTHCARE,AUTO_V2,2026-06-06
PGIL,Pearl Global Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
PICCADIL,Piccadily Agro Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
PIDILITIND,Pidilite Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
PIIND,PI Industries Limited,SPECIALTY_CHEMICALS,AUTO_V2,2026-06-06
PIRAMALFIN,Piramal Finance Limited,NBFC,AUTO_V2,2026-06-06
PITTIENG,Pitti Engineering Limited,CAPITAL_GOODS,AUTO_V2,2026-06-06
PLATIND,Platinum Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
PNB,Punjab National Bank,BANKING,AUTO_V2,2026-06-06
PNBHOUSING,PNB Housing Finance Limited,NBFC,AUTO_V2,2026-06-06
PNCINFRA,PNC Infratech Limited,CONSTRUCTION,AUTO_V2,2026-06-06
POCL,Pondy Oxides & Chemicals Limited,CHEMICALS,AUTO_V2,2026-06-06
POLYCAB,Polycab India Limited,ELECTRICAL_EQUIPMENT,AUTO_V2,2026-06-06
