SYMBOL,COMPANY_NAME,STATUS
HIMATSEIDE,Himatsingka Seide Limited,PENDING
HINDCOMPOS,Hindustan Composites Limited,PENDING
HINDOILEXP,Hindustan Oil Exploration Company Limited,PENDING
HINDWAREAP,Hindware Home Innovation Limited,PENDING
HIRECT,Hind Rectifiers Limited,PENDING
HITECH,Hi-Tech Pipes Limited,PENDING
HLEGLAS,HLE Glascoat Limited,PENDING
HLVLTD,HLV LIMITED,PENDING
HMVL,Hindustan Media Ventures Limited,PENDING
HOMEFIRST,Home First Finance Company India Limited,PENDING
HONASA,Honasa Consumer Limited,PENDING
HONAUT,Honeywell Automation India Limited,PENDING
HONDAPOWER,Honda India Power Products Limited,PENDING
HPAL,HP Adhesives Limited,PENDING
HSCL,Himadri Speciality Chemical Limited,PENDING
HTMEDIA,HT Media Limited,PENDING
HUBTOWN,Hubtown Limited,PENDING
HUDCO,Housing & Urban Development Corporation Limited,PENDING
HUHTAMAKI,Huhtamaki India Limited,PENDING
HYUNDAI,Hyundai Motor India Limited,PENDING
ICDSLTD,ICDS Limited,PENDING
ICEMAKE,Ice Make Refrigeration Limited,PENDING
ICRA,ICRA Limited,PENDING
IEX,Indian Energy Exchange Limited,PENDING
IFCI,IFCI Limited,PENDING
IFGLEXPOR,IFGL Refractories Limited,PENDING
IGARASHI,Igarashi Motors India Limited,PENDING
IGCL,Indogulf Cropsciences Limited,PENDING
IGIL,International Gemological Institute Limited,PENDING
IITL,Industrial Investment Trust Limited,PENDING
IKS,Inventurus Knowledge Solutions Limited,PENDING
IMAGICAA,Imagicaaworld Entertainment Limited,PENDING
IMFA,Indian Metals & Ferro Alloys Limited,PENDING
IMPAL,India Motor Parts and Accessories Limited,PENDING
INDGN,Indegene Limited,PENDING
INDIAGLYCO,India Glycols Limited,PENDING
INDIAMART,Indiamart Intermesh Limited,PENDING
INDIANCARD,Indian Card Clothing Company Limited,PENDING
INDIANHUME,Indian Hume Pipe Company Limited,PENDING
INDIASHLTR,India Shelter Finance Corporation Limited,PENDING
INDIGOPNTS,Indigo Paints Limited,PENDING
INDIQUBE,Indiqube Spaces Limited,PENDING
INDNIPPON,India Nippon Electricals Limited,PENDING
INDOAMIN,Indo Amines Limited,PENDING
INDOCO,Indoco Remedies Limited,PENDING
INDOFARM,Indo Farm Equipment Limited,PENDING
INDORAMA,Indo Rama Synthetics (India) Limited,PENDING
INDOSTAR,IndoStar Capital Finance Limited,PENDING
INDOUS,Indo Us Biotech Limited,PENDING
INDPRUD,Industrial & Prudential Investment Company Limited,PENDING
INDRAMEDCO,Indraprastha Medical Corporation Limited,PENDING
INDTERRAIN,Indian Terrain Fashions Limited,PENDING
INDUSTOWER,Indus Towers Limited,PENDING
INFOMEDIA,Infomedia Press Limited,PENDING
INGERRAND,Ingersoll Rand (India) Limited,PENDING
INNOVACAP,Innova Captab Limited,PENDING
INNOVANA,Innovana Thinklabs Limited,PENDING
INNOVISION,Innovision Limited,PENDING
INOXINDIA,INOX India Limited,PENDING
