symbol,opm_pct,roce_pct,book_value_per_share,total_equity_cr,equity_share_capital_cr,capital_employed_cr,ebitda_cr_latest,ebit_cr_latest,sales_growth_cagr_pct,sales_growth_years,as_of_date,data_quarters
VAKRANGEE,9.18,3.23,1.97,213.74,,246.27,6.2278,1.9891,-0.8,4.3,2024-12-31,19
VALECHAENG,-10.87,,,,,,-0.51,-0.59,-29.51,4.3,2024-12-31,15
VALIANTLAB,3.66,0.91,57.24,310.89,,344.53,1.29,0.781,-34.2,1.3,2024-12-31,6
VALIANTORG,10.9,5.17,271.01,759.38,,880.54,20.3693,11.3824,-7.34,3.5,2024-12-31,15
VALUEIND,-117.79,,,,,,-0.6648,-5.0197,-45.7,4.3,2024-03-31,14
VARDHACRLC,6.76,7.31,31.6,253.92,,263.85,5.53,4.82,0.28,4.0,2024-12-31,19
VARDMNPOLY,39.61,92.61,,,,119.43,29.8491,27.6498,-10.48,4.3,2024-12-31,18
VARROC,4.7,3.02,116.53,1780.34,,2247.51,97.527,16.984,31.56,4.3,2024-12-31,18
VASCONEQ,33.2,28.95,49.58,1148.82,,1330.32,97.87,96.28,23.66,4.3,2024-12-31,18
VASWANI,5.8,4.58,45.56,150.1,,396.06,5.9405,4.5323,9.77,4.3,2024-12-31,19
VBL,16.36,6.77,57.89,19578.7,,21491.21,624.61,363.828,18.73,4.3,2024-12-31,19
VCL,-414.38,-141.95,1.22,22.44,,24.29,-8.6153,-8.6198,-78.99,1.8,2024-12-31,12
VEDL,30.13,39.45,104.57,40831.0,,92298.0,11784.0,9103.0,16.01,4.3,2024-12-31,19
VEEDOL,9.03,10.78,609.36,1035.61,,1085.31,34.81,29.26,,,2024-12-31,2
VENKEYS,4.64,7.63,1133.02,1596.09,,1670.06,40.88,31.85,5.5,4.3,2024-12-31,18
VENTIVE,63.69,3.48,235.76,5506.07,,9926.44,99.093,86.395,,,2024-12-31,1
VENUSPIPES,16.46,17.07,322.69,668.48,,780.48,38.072,33.311,30.9,2.8,2024-12-31,13
VENUSREM,17.13,14.39,496.56,663.75,,691.94,30.3,24.89,9.9,4.3,2024-12-31,18
VERANDA,-33.69,-42.46,99.65,958.36,,1629.24,-33.4005,-172.9436,65.21,2.5,2024-12-31,11
VERTOZ,14.92,12.15,27.35,233.07,,285.37,9.8801,8.6649,61.54,4.3,2024-12-31,18
VESUVIUS,17.56,17.97,81.98,1663.89,,1706.04,89.3,76.64,22.81,4.3,2024-12-31,19
VETO,8.78,7.71,151.55,289.69,,296.66,6.6462,5.7211,17.01,4.3,2024-12-31,20
VGUARD,8.64,12.88,54.33,2373.05,,2624.19,109.57,84.53,18.21,4.3,2024-12-31,20
VHL,85.69,,11797.24,3765.68,,,5.63,5.62,-4.67,4.3,2024-12-31,18
VHLTD,31.14,6.69,39.48,266.8,,513.77,11.757,8.5979,-10.92,0.8,2024-12-31,5
VICEROY,-11.09,,,,,,-4.4598,-6.5711,95.46,3.2,2023-12-31,13
VIDEOIND,-18.12,,,,,,-30.4044,-156.458,-8.31,4.8,2024-03-31,12
VIDHIING,19.35,20.8,65.64,327.83,,337.31,19.0604,17.5442,17.78,4.3,2024-12-31,17
VIJAYA,43.18,14.64,93.02,957.15,,1383.18,67.4677,50.6111,10.57,3.3,2024-12-31,13
VIJIFIN,25.53,0.8,1.64,23.36,,31.76,0.1514,0.0633,14.17,4.3,2024-12-31,20
VIKASECO,3.39,1.78,2.86,397.31,,399.94,2.8718,1.7794,16.94,4.3,2024-12-31,15
