symbol,forward_return_prob,forward_return_score
ELGIRUBCO,0.6567,65.7
ELIN,0.7248,72.5
ELIQUID,0.1945,19.4
ELITECON,0.4634,46.3
ELLEN,0.4623,46.2
ELM250,0.0747,7.5
ELPROINTL,0.4009,40.1
EMAMILTD,0.4852,48.5
EMAMIPAP,0.2769,27.7
EMAMIREAL,0.3146,31.5
EMBDL,0.6921,69.2
EMCURE,0.5417,54.2
EMIL,0.3545,35.5
EMKAY,0.4559,45.6
EMMBI,0.3917,39.2
EMMVEE,0.5188,51.9
EMPOWER,0.2089,20.9
EMSLIMITED,0.3152,31.5
EMUDHRA,0.5004,50.0
EMULTIMQ,0.3814,38.1
ENDURANCE,0.4459,44.6
ENERGY,0.5714,57.1
ENERGYDEV,0.5248,52.5
ENEXT50,0.1227,12.3
ENGINERSIN,0.5694,56.9
ENIFTY,0.5569,55.7
ENIL,0.3383,33.8
ENRIN,0.5174,51.7
ENTERO,0.3948,39.5
EPACK,0.4097,41.0
EPACKPEB,0.522,52.2
EPIGRAL,0.5145,51.5
EPL,0.4374,43.7
EQUAL200,0.2644,26.4
EQUAL50,0.4401,44.0
EQUAL50ADD,0.1998,20.0
EQUITASBNK,0.5404,54.0
ERIS,0.4731,47.3
ESABINDIA,0.3347,33.5
ESAFSFB,0.351,35.1
ESCORTS,0.5166,51.7
ESENSEX,0.3127,31.3
ESG,0.3617,36.2
ESILVER,0.3923,39.2
ESSARSHPNG,0.3984,39.8
ESSENTIA,0.1287,12.9
ESTER,0.3917,39.2
ETERNAL,0.4219,42.2
ETHOSLTD,0.4716,47.2
EUREKAFORB,0.4722,47.2
EUROBOND,0.3415,34.2
EUROPRATIK,0.5441,54.4
EUROTEXIND,0.3874,38.7
EVEREADY,0.4198,42.0
EVERESTIND,0.4786,47.9
EVIETF,0.2752,27.5
EVINDIA,0.2875,28.7
EXCEL,0.4191,41.9
EXCELINDUS,0.4062,40.6
EXCELSOFT,0.5151,51.5
EXICOM,0.5873,58.7
EXIDEIND,0.5124,51.2
EXPLEOSOL,0.381,38.1
EXXARO,0.3192,31.9
FABTECH,0.5449,54.5
FACT,0.4524,45.2
FAIRCHEMOR,0.4248,42.5
FAZE3Q,0.5351,53.5
FCL,0.542,54.2
FCSSOFT,0.1248,12.5
FDC,0.3783,37.8
FEDDERSHOL,0.3574,35.7
FEDERALBNK,0.5057,50.6
FEDFINA,0.4394,43.9
FERMENTA,0.5555,55.5
FIBERWEB,0.4146,41.5
FIEMIND,0.4848,48.5
FILATEX,0.2086,20.9
FILATFASH,0.0615,6.1
FINCABLES,0.5661,56.6
FINEORG,0.5454,54.5
FINIETF,0.2189,21.9
FINKURVE,0.6215,62.1
FINOPB,0.4576,45.8
FINPIPE,0.3519,35.2
FIRSTCRY,0.5611,56.1
FISCHER,0.406,40.6
FIVESTAR,0.439,43.9
FLAIR,0.3649,36.5
FLEXIADD,0.4742,47.4
FLEXITUFF,0.5658,56.6
FLUOROCHEM,0.5099,51.0
FMCGADD,0.1227,12.3
FMCGIETF,0.318,31.8
FMGOETZE,0.4031,40.3
FMNL,0.3248,32.5
FOCUS,0.5731,57.3
FOODSIN,0.5805,58.0
FORCEMOT,0.493,49.3
FORTIS,0.4999,50.0
FOSECOIND,0.481,48.1
FRACTAL,0.5494,54.9
FRONTSP,0.6563,65.6
FSL,0.575,57.5
FUSION,0.5067,50.7
GABRIEL,0.5149,51.5
GAEL,0.5448,54.5
GAIL,0.3936,39.4
GALAPREC,0.5728,57.3
GALAXYSURF,0.4458,44.6
GALLANTT,0.4888,48.9
GANDHAR,0.4848,48.5
GANDHITUBE,0.3339,33.4
GANECOS,0.2002,20.0
GANESHBE,0.4336,43.4
GANESHCP,0.6625,66.3
GANESHHOU,0.4495,45.0
GANESHHOUC,0.4992,49.9
GANGAFORGE,0.5308,53.1
GANGESSECU,0.3974,39.7
GARFIBRES,0.481,48.1
GARUDA,0.3472,34.7
GATECH,0.3111,31.1
GATECHDVR,0.5953,59.5
GATEWAY,0.3825,38.2
GAUDIUMIVF,0.2089,20.9
GAYAHWS,0.6872,68.7
GCSL,0.5763,57.6
GEECEE,0.3337,33.4
GEEKAYWIRE,0.3136,31.4
GEMAROMA,0.6321,63.2
GENCON,0.3611,36.1
GENESYS,0.2481,24.8
GENUSPAPER,0.3591,35.9
GENUSPOWER,0.2437,24.4
GEOJITFSL,0.3464,34.6
GEPIL,0.3585,35.9
GESHIP,0.5727,57.3
GFLLIMITED,0.3663,36.6
GHCL,0.4148,41.5
