symbol,sector,bull_run_score,label,accumulation_score,ml_bull_run_score
DIVGIITTS,DEFENCE,51.52,WATCHLIST,32.78049,63.35
PARAS,DEFENCE,51.51,WATCHLIST,31.559547,61.59
TIMEX,FMCG,51.5,WATCHLIST,89.06372,77.85
GULPOLY,AGRICULTURE,51.5,WATCHLIST,51.699245,65.46
RAYMOND,REALTY,51.47,WATCHLIST,6.5255404,60.41
TALBROAUTO,AUTO,51.46,WATCHLIST,1.3243264,59.88
LUMAXIND,AUTO,51.44,WATCHLIST,60.008793,71.27
WELENT,METAL,51.37,WATCHLIST,1.7901208,60.08
ORCHPHARMA,PHARMA,51.37,WATCHLIST,12.195444,60.85
SARLAPOLY,TEXTILES,51.35,WATCHLIST,1.7913569,59.96
AUBANK,BANKING,51.34,WATCHLIST,3.5079765,60.19
JINDRILL,ENERGY,51.34,WATCHLIST,3.9299805,60.47
CARERATING,FINANCIAL_SERVICES,51.34,WATCHLIST,1.0069385,60.07
TIPSMUSIC,MEDIA,51.32,WATCHLIST,1.9976044,60.39
ARE&M,AUTO,51.26,WATCHLIST,9.625035,60.89
JKPAPER,CHEMICALS,51.26,WATCHLIST,32.972374,73.55
