symbol,rvol,rs_30d,delivery_5d_pct,vs_dma_50,as_of
CRISIL,0.33,8.85,53.4,6.4,20260817
CRIZAC,0.45,-3.95,55.5,-10.38,20260817
CROMPTON,0.24,-2.53,39.5,-5.78,20260817
CROWN,0.38,-3.09,74.9,-4.84,20260817
CSBBANK,0.29,-9.7,54.7,-7.53,20260817
CSLFINANCE,1.76,4.92,72.0,-0.73,20260817
CSM,0.33,-2.76,61.5,,20260817
CTE,0.48,33.15,81.6,23.92,20260817
CUB,0.81,0.2,51.8,1.46,20260817
CUBEXTUB,1.36,8.23,51.4,2.44,20260817
CUMMINSIND,1.09,0.23,64.7,-1.98,20260817
CUPID,1.83,28.28,25.0,26.93,20260817
CURAA,0.37,-5.52,75.4,-8.42,20260817
CYBERMEDIA,0.2,,,11.1,20260817
CYIENT,0.44,3.76,53.7,0.83,20260817
CYIENTDLM,0.49,28.42,46.0,29.68,20260817
DABUR,0.62,-2.5,61.4,-4.59,20260817
DAICHI,0.76,,75.9,23.41,20260817
DALBHARAT,0.7,3.52,45.4,4.07,20260817
DALMIASUG,1.51,29.12,33.4,26.74,20260817
DAMCAPITAL,0.89,-11.37,49.9,-4.35,20260817
DANGEE,0.44,-3.3,78.0,-5.16,20260817
DATAMATICS,0.48,3.05,51.0,2.68,20260817
DATAPATTNS,0.34,12.1,27.2,1.63,20260817
DAVANGERE,0.78,-6.06,60.8,-6.16,20260817
DBCORP,0.24,3.49,63.0,3.12,20260817
DBL,0.12,5.52,42.7,-2.61,20260817
DBOL,2.48,,53.8,12.42,20260817
DBREALTY,0.21,,74.4,1.4,20260817
DCAL,7.79,-6.65,52.8,-5.2,20260817
DCBBANK,0.34,1.55,54.2,-1.38,20260817
DCI,2.09,43.21,46.4,26.32,20260817
DCMFINSERV,0.1,,63.8,14.2,20260817
DCMNVL,0.55,,79.3,32.66,20260817
DCMSHRIRAM,0.48,2.88,48.4,-0.98,20260817
DCMSIL,0.31,,,,20260817
DCMSRIND,3.53,17.79,57.6,13.42,20260817
DCW,0.82,-2.92,56.3,-6.53,20260817
DCXINDIA,0.59,-6.32,44.7,-7.94,20260817
DDEVPLSTIK,0.83,-3.4,55.2,-2.34,20260817
DECCANCE,0.26,-3.87,50.6,-4.46,20260817
DECNGOLD,1.32,23.89,37.0,20.49,20260817
DEEDEV,0.85,,61.9,63.54,20260817
DEEPAKFERT,0.48,-3.38,45.4,-3.57,20260817
DEEPAKNTR,0.97,4.99,50.0,6.84,20260817
DEEPINDS,0.28,46.2,43.4,30.22,20260817
DELHIVERY,0.36,-5.41,57.9,-4.23,20260817
DELTACORP,0.6,-4.8,48.7,-6.01,20260817
DELTAMAGNT,0.12,3.37,61.8,-0.3,20260817
DEN,0.96,1.25,65.1,-2.53,20260817
DENORA,0.26,-4.54,69.5,-3.71,20260817
DENTA,0.89,-9.9,46.7,-10.17,20260817
DEVIT,0.22,-5.64,70.9,-4.93,20260817
DEVX,0.43,-1.06,63.1,-5.95,20260817
DEVYANI,0.38,32.84,28.0,22.4,20260817
DGCONTENT,0.38,-5.76,87.4,-5.11,20260817
DHAMPURSUG,2.52,21.83,40.4,17.96,20260817
DHANBANK,0.52,-2.24,59.0,-2.59,20260817
DHANUKA,0.33,-1.41,56.5,-4.3,20260817
DHARMAJ,0.27,6.31,73.9,1.13,20260817
