Date,Sector,Open,High,Low,Close,Volume,Daily_Change
2023-07-04,NIFTY BANK,45310.55078125,45655.5,45000.25,45301.44921875,463000,-0.02
2023-07-05,NIFTY BANK,45169.69921875,45418.8984375,45073.3984375,45151.80078125,366300,-0.04
2023-07-06,NIFTY BANK,45060.55078125,45417.5,45042.6015625,45339.8984375,244900,0.62
2023-07-07,NIFTY BANK,45118.05078125,45227.25,44844.80078125,44925.0,220900,-0.43
2023-07-10,NIFTY BANK,44958.6484375,45184.30078125,44721.8984375,44860.8515625,220900,-0.22
2023-07-11,NIFTY BANK,44998.0,45139.55078125,44663.05078125,44745.05078125,209000,-0.56
2023-07-12,NIFTY BANK,44872.6015625,44937.25,44562.3984375,44639.44921875,233100,-0.52
2023-07-13,NIFTY BANK,45009.30078125,45085.1484375,44612.19921875,44665.05078125,336800,-0.76
2023-07-14,NIFTY BANK,44860.6484375,44923.8515625,44547.80078125,44819.30078125,196300,-0.09
2023-07-17,NIFTY BANK,44951.19921875,45556.44921875,44695.05078125,45449.75,245900,1.11
2023-07-18,NIFTY BANK,45754.80078125,45905.8515625,45281.30078125,45410.8515625,307300,-0.75
2023-07-19,NIFTY BANK,45622.5,45707.3984375,45433.0,45669.30078125,261100,0.1
2023-07-20,NIFTY BANK,45689.05078125,46256.19921875,45640.94921875,46186.8984375,315200,1.09
2023-07-21,NIFTY BANK,46063.94921875,46369.5,45925.8984375,46075.19921875,235600,0.02
2023-07-24,NIFTY BANK,46131.8984375,46191.5,45858.75,45923.05078125,225800,-0.45
2023-07-25,NIFTY BANK,46154.69921875,46156.1015625,45622.8515625,45845.0,228100,-0.67
2023-07-26,NIFTY BANK,45935.1484375,46096.6015625,45804.69921875,46062.3515625,298400,0.28
2023-07-27,NIFTY BANK,46285.8515625,46310.1015625,45570.6484375,45679.30078125,320400,-1.31
2023-07-28,NIFTY BANK,45560.8984375,45727.75,45238.80078125,45468.1015625,194700,-0.2
