SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,TRADE_DATE
XCHANGING,EQ, 21-Jun-2021,80.6,77.5,83.0,77.5, 82.50,82.25,81.9,425345,348.36,5280, 177483, 41.73,2021-06-21
XELPMOC,EQ, 21-Jun-2021,271.35,271.35,279.6,266.95, 275.00,273.95,274.21,17788,48.78,1489, 11042, 62.08,2021-06-21
YESBANK,EQ, 21-Jun-2021,13.75,13.65,14.05,13.35, 13.90,13.9,13.79,123963605,17094.83,99669, 41371240, 33.37,2021-06-21
ZEEL,EQ, 21-Jun-2021,221.95,218.4,224.15,216.0, 222.00,221.7,220.65,15831666,34933.33,82656, 3885191, 24.54,2021-06-21
ZEELEARN,EQ, 21-Jun-2021,16.85,16.5,17.4,16.3, 17.00,16.9,17.02,4220309,718.26,5664, 2621373, 62.11,2021-06-21
ZEEMEDIA,EQ, 21-Jun-2021,10.3,10.3,10.8,10.05, 10.80,10.8,10.57,8089787,854.97,5488, 5001313, 61.82,2021-06-21
ZENSARTECH,EQ, 21-Jun-2021,295.6,289.0,296.0,287.05, 293.60,293.4,293.54,285547,838.19,6009, 143027, 50.09,2021-06-21
ZENTEC,EQ, 21-Jun-2021,81.8,78.25,85.45,78.25, 83.00,83.1,83.57,1032387,862.72,17905, 149135, 14.45,2021-06-21
ZODIACLOTH,EQ, 21-Jun-2021,102.5,103.45,105.15,101.5, 104.00,104.3,103.96,33895,35.24,1253, 19083, 56.30,2021-06-21
ZOTA,EQ, 21-Jun-2021,167.35,171.95,199.45,154.0, 169.35,171.25,160.4,1665573,2671.65,5445, 1089929, 65.44,2021-06-21
ZUARI,EQ, 21-Jun-2021,129.9,127.0,130.0,124.6, 127.60,127.85,128.46,155010,199.13,3410, 78888, 50.89,2021-06-21
ZUARIGLOB,EQ, 21-Jun-2021,116.0,110.6,119.95,110.6, 116.00,116.2,116.04,154394,179.16,1668, 102101, 66.13,2021-06-21
ZYDUSWELL,EQ, 21-Jun-2021,2084.5,2088.0,2088.05,2041.1, 2071.85,2054.2,2058.63,35008,720.69,4225, 20303, 58.00,2021-06-21
